2025-07-28 23:10:43,418 |    INFO | __main__ | 🔖  Logging to logs/whisper_tiny_cv_fully_synthetic_nl_20250728_231043.log
2025-07-28 23:10:43,627 |    INFO | root | Using device: cuda
2025-07-28 23:10:43,627 |    INFO | root | Using model: yuriyvnv/whisper-tiny-cv-fully-synthetic-nl
2025-07-28 23:10:43,627 |    INFO | root | Loading model... 🎯
2025-07-28 23:10:46,160 |    INFO | root | Using device: cuda 💻
2025-07-28 23:10:46,160 |    INFO | root | Loading Common Voice 17.0 dataset... 📊
2025-07-28 23:10:46,458 |   ERROR | root |  README.md:   0%|          | 0.00/12.7k [00:00<?, ?B/s]
2025-07-28 23:38:05,607 |    INFO | root | Romen en nappels zijn twee grote steden in Italië.
2025-07-28 23:38:05,607 |    INFO | root | Rome en Napels zijn twee grote steden in Italië.
2025-07-28 23:38:05,607 |   ERROR | root | Processing test:  48%|####8     | 5450/11266 [08:08<08:34, 11.30it/s]
2025-07-28 23:38:05,684 |    INFO | root | Ze vaarden door het ontdiepe water.
2025-07-28 23:38:05,684 |    INFO | root | Ze waadde door het ondiepe water.
2025-07-28 23:38:05,736 |    INFO | root | Ik kan de slaap niet vatten.
2025-07-28 23:38:05,736 |    INFO | root | Ik kan de slaap niet vatten.
2025-07-28 23:38:05,736 |   ERROR | root | Processing test:  48%|####8     | 5452/11266 [08:08<07:52, 12.30it/s]
2025-07-28 23:38:05,818 |    INFO | root | De twee doeltzelfers hebben samen hun huis gebouwd.
2025-07-28 23:38:05,818 |    INFO | root | De twee doe-het-zelvers hebben samen hun huis gebouwd.
2025-07-28 23:38:05,918 |    INFO | root | Electiezerscooters hebben een hoog kredemet.
2025-07-28 23:38:05,918 |    INFO | root | Elektrische scooters hebben een hoog rendement.
2025-07-28 23:38:05,918 |   ERROR | root | Processing test:  48%|####8     | 5454/11266 [08:08<08:09, 11.87it/s]
2025-07-28 23:38:06,024 |    INFO | root | Ik registreer de magisteren voor het nieuwbouwproject.
2025-07-28 23:38:06,024 |    INFO | root | Ik registreerde me gisteren voor dat nieuwbouwproject.
2025-07-28 23:38:06,098 |    INFO | root | Er zit een zestig seconden in een minuut.
2025-07-28 23:38:06,098 |    INFO | root | Er zitten zestig seconden in een minuut.
2025-07-28 23:38:06,099 |   ERROR | root | Processing test:  48%|####8     | 5456/11266 [08:09<08:19, 11.63it/s]
2025-07-28 23:38:06,211 |    INFO | root | Ze hebben altijd al veel afgesproken met hun vriendengroep.
2025-07-28 23:38:06,211 |    INFO | root | Ze hebben altijd al veel afgesproken met hun vriendengroep.
2025-07-28 23:38:06,264 |    INFO | root | De ploeg staat er verledig.
2025-07-28 23:38:06,264 |    INFO | root | De ploeg staat er volledig.
2025-07-28 23:38:06,264 |   ERROR | root | Processing test:  48%|####8     | 5458/11266 [08:09<08:13, 11.76it/s]
2025-07-28 23:38:06,316 |    INFO | root | Ze zwijden naar de verken.
2025-07-28 23:38:06,316 |    INFO | root | Ze zwaaide naar de webcam.
2025-07-28 23:38:06,427 |    INFO | root | Het is hoog tijd dat je nog in sukauwens gaat sorteren.
2025-07-28 23:38:06,427 |    INFO | root | Het is hoog tijd dat je nog eens je kousen gaat sorteren.
2025-07-28 23:38:06,427 |   ERROR | root | Processing test:  48%|####8     | 5460/11266 [08:09<08:07, 11.91it/s]
2025-07-28 23:38:06,502 |    INFO | root | Mijn vraag is, wie zal ze vertegenwoordigen?
2025-07-28 23:38:06,502 |    INFO | root | Mijn vraag is: wie zal ze vertegenwoordigen?
2025-07-28 23:38:06,625 |    INFO | root | Het milieudiend echter consequenter en gerichte in het vervoersbeleid opgenomen te worden.
2025-07-28 23:38:06,625 |    INFO | root | Het milieu dient echter consequenter en gerichter in het vervoersbeleid opgenomen te worden.
2025-07-28 23:38:06,626 |   ERROR | root | Processing test:  48%|####8     | 5462/11266 [08:09<08:33, 11.29it/s]
2025-07-28 23:38:06,704 |    INFO | root | Dit vol buiten de rijkwijdte van de richtlijn.
2025-07-28 23:38:06,704 |    INFO | root | Dit valt buiten de reikwijdte van de richtlijn.
2025-07-28 23:38:06,775 |    INFO | root | Het is een zeer grondig tussen tijdsverslag.
2025-07-28 23:38:06,775 |    INFO | root | Het is een zeer grondig tussentijds verslag.
2025-07-28 23:38:06,775 |   ERROR | root | Processing test:  48%|####8     | 5464/11266 [08:09<08:09, 11.85it/s]
2025-07-28 23:38:06,834 |    INFO | root | Dit versterkt ons concurrentievermogen.
2025-07-28 23:38:06,834 |    INFO | root | Dit versterkt ons concurrentievermogen.
2025-07-28 23:38:06,942 |    INFO | root | Transparantie bij het gebruik van deze fondsen is daarom een kindhardeverplichting.
2025-07-28 23:38:06,942 |    INFO | root | Transparantie bij het gebruik van deze fondsen is daarom een keiharde verplichting.
2025-07-28 23:38:06,942 |   ERROR | root | Processing test:  49%|####8     | 5466/11266 [08:09<08:07, 11.89it/s]
2025-07-28 23:38:07,020 |    INFO | root | De secondaire doelen van deze richtlijn zijn echter zeer goed.
2025-07-28 23:38:07,020 |    INFO | root | De secondaire doelen van deze richtlijn zijn echter zeer goed.
2025-07-28 23:38:07,097 |    INFO | root | Dit is het antwoord op deze uitdagingen.
2025-07-28 23:38:07,097 |    INFO | root | Dit is het antwoord op deze uitdagingen.
2025-07-28 23:38:07,098 |   ERROR | root | Processing test:  49%|####8     | 5468/11266 [08:10<07:56, 12.16it/s]
2025-07-28 23:38:07,231 |    INFO | root | Deze landen hebben grote vooruitgang geboekt op het gebied van economische ontwikkeling.
2025-07-28 23:38:07,231 |    INFO | root | Deze landen hebben grote vooruitgang geboekt op het gebied van de economische ontwikkeling.
2025-07-28 23:38:07,282 |    INFO | root | Dat staat mij helder voor ogen.
2025-07-28 23:38:07,282 |    INFO | root | Dat staat mij helder voor ogen.
2025-07-28 23:38:07,282 |   ERROR | root | Processing test:  49%|####8     | 5470/11266 [08:10<08:14, 11.73it/s]
2025-07-28 23:38:07,345 |    INFO | root | Dat geldt echter niet voor rijbewijzen.
2025-07-28 23:38:07,345 |    INFO | root | Dat geldt echter niet voor rijbewijzen.
2025-07-28 23:38:07,435 |    INFO | root | Maar dankzij communautaire maatregelen, hebben wij al veel bereikt.
2025-07-28 23:38:07,435 |    INFO | root | Maar dankzij communautaire maatregelen hebben we al veel bereikt.
2025-07-28 23:38:07,435 |   ERROR | root | Processing test:  49%|####8     | 5472/11266 [08:10<07:58, 12.11it/s]
2025-07-28 23:38:07,533 |    INFO | root | In een ander is die berend voor de aanpak die nu steeds meer gevolgd wordt.
2025-07-28 23:38:07,533 |    INFO | root | Een en ander is typerend voor de aanpak die nu steeds meer gevolgd wordt.
2025-07-28 23:38:07,642 |    INFO | root | Mijn collega's en ik hebben ook het milieuaspect van geneesmiddelen willen laten meewegen.
2025-07-28 23:38:07,642 |    INFO | root | Mijn collega’s en ik hebben ook het milieuaspect van geneesmiddelen willen laten meewegen.
2025-07-28 23:38:07,642 |   ERROR | root | Processing test:  49%|####8     | 5474/11266 [08:10<08:34, 11.25it/s]
2025-07-28 23:38:07,708 |    INFO | root | Kan ik alsnog een antwoord kijgen?
2025-07-28 23:38:07,708 |    INFO | root | Kan ik alsnog een antwoord krijgen?
2025-07-28 23:38:07,849 |    INFO | root | Ondanks de snelle beweging van de ruimte wasig, was er niet veel te zien door de vooruitst.
2025-07-28 23:38:07,849 |    INFO | root | Ondanks de snelle beweging van de ruitenwasser was er niet veel te zien door de voorruit.
2025-07-28 23:38:07,849 |   ERROR | root | Processing test:  49%|####8     | 5476/11266 [08:10<09:00, 10.72it/s]
2025-07-28 23:38:07,889 |    INFO | root | Doelen de goedjes.
2025-07-28 23:38:07,889 |    INFO | root | Doe hem de groetjes.
2025-07-28 23:38:08,005 |    INFO | root | Kan u het de Spaanste vlag eruit halen?
2025-07-28 23:38:08,005 |    INFO | root | Kan je de Spaanse vlag eruit halen?
2025-07-28 23:38:08,005 |   ERROR | root | Processing test:  49%|####8     | 5478/11266 [08:10<08:33, 11.27it/s]
2025-07-28 23:38:08,072 |    INFO | root | Al doen de legtmaan.
2025-07-28 23:38:08,072 |    INFO | root | Al doende leert men.
2025-07-28 23:38:08,234 |    INFO | root | Het loeveren kan je vinden in het centrum van Parijs, niet veel van de evotoren.
2025-07-28 23:38:08,234 |    INFO | root | Het Louvre kan je vinden in het centrum van Parijs, niet ver van de Eiffeltoren.
2025-07-28 23:38:08,234 |   ERROR | root | Processing test:  49%|####8     | 5480/11266 [08:11<09:17, 10.37it/s]
2025-07-28 23:38:08,313 |    INFO | root | Is er opvang voorzien in een vluchtelingen kamp?
2025-07-28 23:38:08,313 |    INFO | root | Is er opvang voorzien in een vluchtelingenkamp?
2025-07-28 23:38:08,408 |    INFO | root | Groeningen, de gemeente of groeningen, de provincie.
2025-07-28 23:38:08,408 |    INFO | root | Groningen de gemeente of Groningen de provincie?
2025-07-28 23:38:08,408 |   ERROR | root | Processing test:  49%|####8     | 5482/11266 [08:11<09:01, 10.68it/s]
2025-07-28 23:38:08,467 |    INFO | root | Wat is de waarde van dat aandeel?
2025-07-28 23:38:08,467 |    INFO | root | Wat is de waarde van dat aandeel?
2025-07-28 23:38:08,546 |    INFO | root | De nieuwste getje het was niet voor iedereen weggelegd.
2025-07-28 23:38:08,546 |    INFO | root | De nieuwste gadget was niet voor iedereen weggelegd.
2025-07-28 23:38:08,547 |   ERROR | root | Processing test:  49%|####8     | 5484/11266 [08:11<08:18, 11.59it/s]
2025-07-28 23:38:08,606 |    INFO | root | Vegeet je handen niet te wassen?
2025-07-28 23:38:08,606 |    INFO | root | Vergeet je handen niet te wassen.
2025-07-28 23:38:08,694 |    INFO | root | De loodgieter heeft het lek gedicht.
2025-07-28 23:38:08,694 |    INFO | root | De loodgieter heeft het lek gedicht.
2025-07-28 23:38:08,694 |   ERROR | root | Processing test:  49%|####8     | 5486/11266 [08:11<07:57, 12.11it/s]
2025-07-28 23:38:08,825 |    INFO | root | Oursmee verwijderen met oorstokjes kan gevaarlijk zijn.
2025-07-28 23:38:08,825 |    INFO | root | Oorsmeer verwijderen met oorstokjes kan gevaarlijk zijn.
2025-07-28 23:38:08,897 |    INFO | root | Zij is hoofd van de afdeling-genicologie.
2025-07-28 23:38:08,897 |    INFO | root | Zij is hoofd van de afdeling gynaecologie.
2025-07-28 23:38:08,897 |   ERROR | root | Processing test:  49%|####8     | 5488/11266 [08:11<08:29, 11.34it/s]
2025-07-28 23:38:08,953 |    INFO | root | Kubel is nog steeds een communistische staat.
2025-07-28 23:38:08,953 |    INFO | root | Cuba is nog steeds een communistische staat.
2025-07-28 23:38:09,036 |    INFO | root | Een munt van tijd stond de hiddelijke alder blank.
2025-07-28 23:38:09,036 |    INFO | root | In een mum van tijd stond de hele kelder blank.
2025-07-28 23:38:09,036 |   ERROR | root | Processing test:  49%|####8     | 5490/11266 [08:11<07:56, 12.11it/s]
2025-07-28 23:38:09,109 |    INFO | root | Jongens waren we, maar aardiger jongens.
2025-07-28 23:38:09,109 |    INFO | root | Jongens waren we—maar aardige jongens.
2025-07-28 23:38:09,195 |    INFO | root | Ik neem altijd een bedon met water mee.
2025-07-28 23:38:09,195 |    INFO | root | Ik neem altijd een bidon met water mee.
2025-07-28 23:38:09,195 |   ERROR | root | Processing test:  49%|####8     | 5492/11266 [08:12<07:51, 12.25it/s]
2025-07-28 23:38:09,286 |    INFO | root | De krant heeft de bestelling goed ontvangen.
2025-07-28 23:38:09,286 |    INFO | root | De klant heeft de bestelling goed ontvangen.
2025-07-28 23:38:09,357 |    INFO | root | Een dat kanaal is ooit een messe vertrokken.
2025-07-28 23:38:09,357 |    INFO | root | In dat kanaal is ooit een meisje verdronken.
2025-07-28 23:38:09,357 |   ERROR | root | Processing test:  49%|####8     | 5494/11266 [08:12<07:50, 12.27it/s]
2025-07-28 23:38:09,472 |    INFO | root | Als u een huis koopt, moet je opletten dat het niet in een overstromingsgebied legt.
2025-07-28 23:38:09,472 |    INFO | root | Als je een huis koopt moet je opletten dat het niet in een overstromingsgebied ligt.
2025-07-28 23:38:09,543 |    INFO | root | Ik heb slechts stin euro te besteeden vandaag.
2025-07-28 23:38:09,543 |    INFO | root | Ik heb slechts tien euro te besteden vandaag.
2025-07-28 23:38:09,543 |   ERROR | root | Processing test:  49%|####8     | 5496/11266 [08:12<08:09, 11.78it/s]
2025-07-28 23:38:09,605 |    INFO | root | Hij keek mij diep in mijn ogen.
2025-07-28 23:38:09,605 |    INFO | root | Hij keek mij diep in mijn ogen.
2025-07-28 23:38:09,790 |    INFO | root | Eerst durfde ze niet in de glijpen van het zwembad, maar na lange aandringen heeft ze dan toch herschrik overwonnen.
2025-07-28 23:38:09,790 |    INFO | root | Eerst durfde ze niet in de glijbaan van het zwembad, maar na lang aandringen heeft ze dan toch haar schrik overwonnen.
2025-07-28 23:38:09,790 |   ERROR | root | Processing test:  49%|####8     | 5498/11266 [08:12<09:17, 10.35it/s]
2025-07-28 23:38:09,888 |    INFO | root | Hij is een zeer enerzietisch persoon en zit bordevoll positieve energie.
2025-07-28 23:38:09,888 |    INFO | root | Hij is een zeer energetisch persoon en zit boordevol positieve energie.
2025-07-28 23:38:09,939 |    INFO | root | Hij speelt ze eerst de viel.
2025-07-28 23:38:09,939 |    INFO | root | Hij speelt de eerste viool.
2025-07-28 23:38:09,939 |   ERROR | root | Processing test:  49%|####8     | 5500/11266 [08:12<08:38, 11.13it/s]
2025-07-28 23:38:10,005 |    INFO | root | Kennere hoofd zat van alle eurobase landen.
2025-07-28 23:38:10,005 |    INFO | root | Ken je de hoofdstad van alle Europese landen?
2025-07-28 23:38:10,084 |    INFO | root | Immeltijd was beperduur.
2025-07-28 23:38:10,084 |    INFO | root | Die maaltijd was peperduur.
2025-07-28 23:38:10,084 |   ERROR | root | Processing test:  49%|####8     | 5502/11266 [08:13<08:08, 11.81it/s]
2025-07-28 23:38:10,247 |    INFO | root | Om zijn slaakkermer af te goelen in de zomer heb zijn ouders een dak gaan laten installeren.
2025-07-28 23:38:10,247 |    INFO | root | Om zijn slaapkamer af te koelen in de zomer hebben zijn ouders een dakraam laten installeren.
2025-07-28 23:38:10,326 |    INFO | root | Dat is de reden waarom we tegen het verslag hebben gestemd.
2025-07-28 23:38:10,326 |    INFO | root | Dat is de reden waarom we tegen het verslag hebben gestemd.
2025-07-28 23:38:10,326 |   ERROR | root | Processing test:  49%|####8     | 5504/11266 [08:13<09:10, 10.46it/s]
2025-07-28 23:38:10,412 |    INFO | root | Dat klon me als muziek in de oren.
2025-07-28 23:38:10,412 |    INFO | root | Dat klonk me als muziek in de oren.
2025-07-28 23:38:10,494 |    INFO | root | Hij is een gedreven en competente man.
2025-07-28 23:38:10,494 |    INFO | root | Hij is een gedreven en competente man.
2025-07-28 23:38:10,494 |   ERROR | root | Processing test:  49%|####8     | 5506/11266 [08:13<08:50, 10.85it/s]
2025-07-28 23:38:10,618 |    INFO | root | Ik wens iedereen nog veel succes toe totdat het dossier is afgerond.
2025-07-28 23:38:10,618 |    INFO | root | Ik wens iedereen nog veel succes toe, totdat het dossier is afgerond.
2025-07-28 23:38:10,692 |    INFO | root | Het wordt tijd dat we op de markt gaan vertrouwen.
2025-07-28 23:38:10,692 |    INFO | root | Het wordt tijd dat we op de markt gaan vertrouwen.
2025-07-28 23:38:10,692 |   ERROR | root | Processing test:  49%|####8     | 5508/11266 [08:13<09:02, 10.62it/s]
2025-07-28 23:38:10,782 |    INFO | root | Wie moet bepalen wat krenken is en wiens moraal is de beste.
2025-07-28 23:38:10,782 |    INFO | root | Wie moet bepalen wat krenkend is en wiens moraal is de beste?
2025-07-28 23:38:10,872 |    INFO | root | Niet omdat we over alle onderdelen tevreden zijn, absoluut niet.
2025-07-28 23:38:10,872 |    INFO | root | Niet omdat we over alle onderdelen tevreden zijn, absoluut niet.
2025-07-28 23:38:10,872 |   ERROR | root | Processing test:  49%|####8     | 5510/11266 [08:13<08:54, 10.76it/s]
2025-07-28 23:38:10,934 |    INFO | root | We hebben er genoeg van dames en heren.
2025-07-28 23:38:10,934 |    INFO | root | We hebben er genoeg van, dames en heren!
2025-07-28 23:38:11,042 |    INFO | root | Vroeg tijdige investeringen zijn veel doeltreffender dan interventie in een late stadium.
2025-07-28 23:38:11,042 |    INFO | root | Vroegtijdige investeringen zijn veel doeltreffender dan interventie in een later stadium.
2025-07-28 23:38:11,042 |   ERROR | root | Processing test:  49%|####8     | 5512/11266 [08:13<08:40, 11.05it/s]
2025-07-28 23:38:11,120 |    INFO | root | Ze is onmiddellijk begonnen aan een rampanalyse.
2025-07-28 23:38:11,120 |    INFO | root | Ze is onmiddellijk begonnen aan een rampenanalyse.
2025-07-28 23:38:11,222 |    INFO | root | Waarom zijn bepaalde landen dan zo tegen publicatie gekant?
2025-07-28 23:38:11,222 |    INFO | root | Waarom zijn bepaalde landen dan zo tegen publicatie gekant?
2025-07-28 23:38:11,222 |   ERROR | root | Processing test:  49%|####8     | 5514/11266 [08:14<08:39, 11.07it/s]
2025-07-28 23:38:11,306 |    INFO | root | Ten eerste de kwestie van de grote duren terrein warenst.
2025-07-28 23:38:11,306 |    INFO | root | Ten eerste de kwestie van de grote, dure terreinwagens.
2025-07-28 23:38:11,361 |    INFO | root | Zijn discussies nu echt voldoende?
2025-07-28 23:38:11,361 |    INFO | root | Zijn discussies nu echt voldoende?
2025-07-28 23:38:11,361 |   ERROR | root | Processing test:  49%|####8     | 5516/11266 [08:14<08:04, 11.88it/s]
2025-07-28 23:38:11,436 |    INFO | root | Het mag niet alleen gaan om instrumenten of financiële winst.
2025-07-28 23:38:11,436 |    INFO | root | Het mag niet alleen gaan om instrumenten of financiële winst.
2025-07-28 23:38:11,534 |    INFO | root | Er zijn ook mensen die ook droeë willen zodat het leven kan voortduren.
2025-07-28 23:38:11,534 |    INFO | root | Er zijn ook mensen die octrooien willen, zodat het leven kan voortduren.
2025-07-28 23:38:11,534 |   ERROR | root | Processing test:  49%|####8     | 5518/11266 [08:14<08:07, 11.79it/s]
2025-07-28 23:38:11,601 |    INFO | root | Na de kochtzwetting viele het licht uit.
2025-07-28 23:38:11,601 |    INFO | root | Na de kortsluiting viel het licht uit.
2025-07-28 23:38:11,731 |    INFO | root | Veilijk ook poedst op de kraam blijven er altijd rest een kookafzetting zitten.
2025-07-28 23:38:11,731 |    INFO | root | Hoeveel ik ook poets, op de kraan blijven er altijd resten kalkafzetting zitten.
2025-07-28 23:38:11,731 |   ERROR | root | Processing test:  49%|####8     | 5520/11266 [08:14<08:30, 11.25it/s]
2025-07-28 23:38:11,806 |    INFO | root | In de provincie overigens zullen we een relatief veel mensen.
2025-07-28 23:38:11,807 |    INFO | root | In de provincie Overijssel wonen relatief veel mensen.
2025-07-28 23:38:11,894 |    INFO | root | Op havaai is er nog veel vulkanische activiteit.
2025-07-28 23:38:11,894 |    INFO | root | Op Hawaï is er nog veel Vulkanische activiteit.
2025-07-28 23:38:11,894 |   ERROR | root | Processing test:  49%|####9     | 5522/11266 [08:14<08:18, 11.52it/s]
2025-07-28 23:38:11,962 |    INFO | root | De gevangenen kregen elk een week verhof.
2025-07-28 23:38:11,962 |    INFO | root | De gevangenen kregen elk een week verlof.
2025-07-28 23:38:12,005 |    INFO | root | Sneeuw is altijd wit.
2025-07-28 23:38:12,005 |    INFO | root | Sneeuw is altijd wit.
2025-07-28 23:38:12,005 |   ERROR | root | Processing test:  49%|####9     | 5524/11266 [08:14<07:24, 12.93it/s]
2025-07-28 23:38:12,087 |    INFO | root | Je moet de hoofd weg volgen.
2025-07-28 23:38:12,087 |    INFO | root | Je moet de hoofdweg volgen.
2025-07-28 23:38:12,176 |    INFO | root | Hij stoeft te vaak.
2025-07-28 23:38:12,176 |    INFO | root | Hij stoeft te vaak.
2025-07-28 23:38:12,176 |   ERROR | root | Processing test:  49%|####9     | 5526/11266 [08:15<07:38, 12.53it/s]
2025-07-28 23:38:12,286 |    INFO | root | Zij wil liever anoniem blijven.
2025-07-28 23:38:12,286 |    INFO | root | Zij wilde liever anoniem blijven.
2025-07-28 23:38:12,390 |    INFO | root | Het uitgebreide verslag van hun heurlijk was te lezen in dit magazie.
2025-07-28 23:38:12,390 |    INFO | root | Het uitgebreide verslag van hun huwelijk was te lezen in dit magazine.
2025-07-28 23:38:12,390 |   ERROR | root | Processing test:  49%|####9     | 5528/11266 [08:15<08:24, 11.38it/s]
2025-07-28 23:38:12,477 |    INFO | root | Als u over uw juli niet gaat, verzwijren je speren.
2025-07-28 23:38:12,477 |    INFO | root | Als je over je limiet gaat verzuren je spieren.
2025-07-28 23:38:12,550 |    INFO | root | Delen werftig minder elf is twee en veertig.
2025-07-28 23:38:12,550 |    INFO | root | Drieënvijftig min elf is tweeënveertig.
2025-07-28 23:38:12,550 |   ERROR | root | Processing test:  49%|####9     | 5530/11266 [08:15<08:11, 11.68it/s]
2025-07-28 23:38:12,633 |    INFO | root | Tenst kerstmis zijn gewonelijk minder winkels op.
2025-07-28 23:38:12,634 |    INFO | root | Tijdens Kerstmis zijn er gewoonlijk minder winkels open.
2025-07-28 23:38:12,686 |    INFO | root | We gaan het debit verhogen.
2025-07-28 23:38:12,686 |    INFO | root | We gaan het debiet verhogen.
2025-07-28 23:38:12,687 |   ERROR | root | Processing test:  49%|####9     | 5532/11266 [08:15<07:40, 12.44it/s]
2025-07-28 23:38:12,810 |    INFO | root | Hebrie geproefd van de wet naar mensen hierrechten?
2025-07-28 23:38:12,810 |    INFO | root | Heb je geproefd van de Vietnamese gerechten?
2025-07-28 23:38:12,889 |    INFO | root | Zij is de burgermeister van meggelen.
2025-07-28 23:38:12,889 |    INFO | root | Zij is de burgemeester van Mechelen.
2025-07-28 23:38:12,889 |   ERROR | root | Processing test:  49%|####9     | 5534/11266 [08:15<08:16, 11.55it/s]
2025-07-28 23:38:12,992 |    INFO | root | De ruwen ooit beplaatend waren afgewijkend met een laagjefinair.
2025-07-28 23:38:12,992 |    INFO | root | De ruwe OSB-platen waren afgewerkt met een laagje fineer.
2025-07-28 23:38:13,071 |    INFO | root | Dat is een typisch voorbeeld van een fouten auto correct.
2025-07-28 23:38:13,071 |    INFO | root | Dat is een typisch voorbeeld van een foute autocorrect.
2025-07-28 23:38:13,071 |   ERROR | root | Processing test:  49%|####9     | 5536/11266 [08:16<08:24, 11.36it/s]
2025-07-28 23:38:13,171 |    INFO | root | Er stroomt heldere water in de beek en je kan de vissen zien zwemmen.
2025-07-28 23:38:13,171 |    INFO | root | Er stroomt helder water in de beek en je kan de vissen zien zwemmen.
2025-07-28 23:38:13,249 |    INFO | root | Ellenen is gaan schier in de buurt van generieven.
2025-07-28 23:38:13,250 |    INFO | root | Eline is gaan skiën in de buurt van Geneve.
2025-07-28 23:38:13,250 |   ERROR | root | Processing test:  49%|####9     | 5538/11266 [08:16<08:25, 11.32it/s]
2025-07-28 23:38:13,329 |    INFO | root | We hebben de tegenstperers aan één tafel bij één gebracht.
2025-07-28 23:38:13,329 |    INFO | root | Wij hebben de tegenspelers aan één tafel bijeengebracht.
2025-07-28 23:38:13,447 |    INFO | root | Ik hoop dat de resolutie met een overweldigende meerderheid zal worden aangenomen.
2025-07-28 23:38:13,447 |    INFO | root | Ik hoop dat de resolutie met een overweldigende meerderheid zal worden aangenomen.
2025-07-28 23:38:13,447 |   ERROR | root | Processing test:  49%|####9     | 5540/11266 [08:16<08:43, 10.94it/s]
2025-07-28 23:38:13,548 |    INFO | root | Waar er maar vele afgevaardigde die zich intenseren voor ouderen?
2025-07-28 23:38:13,549 |    INFO | root | Waren er maar vele afgevaardigden die zich interesseren voor ouderen!
2025-07-28 23:38:13,640 |    INFO | root | Dit is het werkelijkheid gewoon booging op pad, sectoren te straffen.
2025-07-28 23:38:13,640 |    INFO | root | Dit is in werkelijkheid gewoon een poging om bepaalde sectoren te straffen.
2025-07-28 23:38:13,640 |   ERROR | root | Processing test:  49%|####9     | 5542/11266 [08:16<08:52, 10.76it/s]
2025-07-28 23:38:13,774 |    INFO | root | Ik maak mij zorgen over het lage terugvorderingspersentage van geld, het onrechtmatig het besteed.
2025-07-28 23:38:13,774 |    INFO | root | Ik maak mij zorgen over het lage terugvorderingspercentage van geld dat onrechtmatig is besteed.
2025-07-28 23:38:13,831 |    INFO | root | Ik mis echter wel een paar zaken.
2025-07-28 23:38:13,831 |    INFO | root | Ik mis echter wel een paar zaken.
2025-07-28 23:38:13,831 |   ERROR | root | Processing test:  49%|####9     | 5544/11266 [08:16<08:56, 10.67it/s]
2025-07-28 23:38:13,948 |    INFO | root | Muziek is er een verkoze parlementsleden, moeten hun macht aan alternaren en ministers overdragen.
2025-07-28 23:38:13,948 |    INFO | root | Hun kiezers en verkozen parlementsleden moeten hun macht aan ambtenaren en ministers overdragen.
2025-07-28 23:38:14,027 |    INFO | root | De consumenten moeten weten wat zij kopen en wat zij eten.
2025-07-28 23:38:14,027 |    INFO | root | De consumenten moeten weten wat zij kopen en wat zij eten.
2025-07-28 23:38:14,027 |   ERROR | root | Processing test:  49%|####9     | 5546/11266 [08:16<09:03, 10.52it/s]
2025-07-28 23:38:14,159 |    INFO | root | Nog steeds voor de vrouwen achtergesteld en gediscrimineerd, ook in arbeidssituaties.
2025-07-28 23:38:14,160 |    INFO | root | Nog steeds worden vrouwen achtergesteld en gediscrimineerd, ook in arbeidssituaties.
2025-07-28 23:38:14,250 |    INFO | root | Voorzitter, we moeten nu overgaan tot de stemming over de verslagen.
2025-07-28 23:38:14,250 |    INFO | root | Voorzitter, u moet nu overgaan tot de stemming over de verslagen.
2025-07-28 23:38:14,250 |   ERROR | root | Processing test:  49%|####9     | 5548/11266 [08:17<09:31, 10.01it/s]
2025-07-28 23:38:14,341 |    INFO | root | Ja, waar genoeg gebeurt ons werk al te vaak in het verborgen.
2025-07-28 23:38:14,341 |    INFO | root | Jammer genoeg gebeurt ons werk nog al te vaak in het verborgen.
2025-07-28 23:38:14,432 |    INFO | root | Daarvoor zijn wij gekozen en dat verlangt de bevolging van ons.
2025-07-28 23:38:14,433 |    INFO | root | Daarvoor zijn wij gekozen en dat verlangt de bevolking van ons.
2025-07-28 23:38:14,433 |   ERROR | root | Processing test:  49%|####9     | 5550/11266 [08:17<09:16, 10.27it/s]
2025-07-28 23:38:14,538 |    INFO | root | Bij belangrijke behart gewerkt en ze hebben tot nuke grote vooruitgang geboekt.
2025-07-28 23:38:14,539 |    INFO | root | Beide landen hebben hard gewerkt, en ze hebben tot nu toe grote vooruitgang geboekt.
2025-07-28 23:38:14,636 |    INFO | root | Dit is in onze ogen weer een poging om de begroting te bestijgen.
2025-07-28 23:38:14,636 |    INFO | root | Dit is in onze ogen weer een poging om de begroting te doen stijgen.
2025-07-28 23:38:14,636 |   ERROR | root | Processing test:  49%|####9     | 5552/11266 [08:17<09:23, 10.14it/s]
2025-07-28 23:38:14,745 |    INFO | root | Deze verordening zal consumenten slechts op een opgelukken gemeier te goede komen.
2025-07-28 23:38:14,745 |    INFO | root | Deze verordening zal de consumenten slechts op een oppervlakkige manier ten goede komen.
2025-07-28 23:38:14,813 |    INFO | root | Al vergett dus zijn simpelonder implementeren.
2025-07-28 23:38:14,813 |    INFO | root | Algoritmes zijn simpel om te implementeren.
2025-07-28 23:38:14,813 |   ERROR | root | Processing test:  49%|####9     | 5554/11266 [08:17<09:06, 10.46it/s]
2025-07-28 23:38:14,920 |    INFO | root | Heeft de bevijeringskamer iets geheur gestringend?
2025-07-28 23:38:14,920 |    INFO | root | Heeft de beveiligingscamera iets geregistreerd?
2025-07-28 23:38:15,027 |    INFO | root | Er is een covalatie tussen corruptie en land en armoed in hetzelfde land.
2025-07-28 23:38:15,027 |    INFO | root | Er is een correlatie tussen corruptie in een land en armoede in datzelfde land.
